H2Oice	G0230
scanned warm and tilted by ~5 deg	
Wavelength (nm)	%T
2392	0.0044039
2391	0.014743
2390	0.008504
2389	0.014029
2388	0.013342
2387	0.012678
2386	0.0097717
2385	0.01145
2384	0.012228
2383	0.0056347
2382	0.0093249
2381	0.0090713
2380	0.012673
2379	0.0056939
2378	0.010646
2377	0.0056107
2376	0.01561
2375	0.0091071
2374	0.0094608
2373	0.010075
2372	0.0088138
2371	0.016987
2370	0.009091
2369	0.016599
2368	0.0071139
2367	0.0088319
2366	0.011823
2365	0.010872
2364	0.0048013
2363	0.005742
2362	0.011072
2361	0.015772
2360	0.010953
2359	0.01345
2358	0.010795
2357	0.0084426
2356	0.010561
2355	0.0087725
2354	0.010998
2353	0.010268
2352	0.009548
2351	0.010426
2350	0.011367
2349	0.0085658
2348	0.012297
2347	0.010368
2346	0.0079953
2345	0.013482
2344	0.0099662
2343	0.0080366
2342	0.0047241
2341	0.0053023
2340	0.0020268
2339	0.0080492
2338	0.0031626
2337	0.0080582
2336	0.0099375
2335	0.0082612
2334	0.0049199
2333	0.0084667
2332	0.0010722
2331	0.01139
2330	0.0057449
2329	0.0087242
2328	0.006619
2327	0.004126
2326	0.012396
2325	0.0095991
2324	0.002316
2323	0.0060032
2322	0.0074033
2321	0.0010247
2320	0.0081196
2319	0.0078052
2318	0.0060329
2317	0.0050072
2316	0.0085899
2315	0.009692
2314	0.0023452
2313	0.0019748
2312	0.0038154
2311	0.0054298
2310	0.0062856
2309	0.0081393
2308	0.0082192
2307	0.0029648
2306	0.0076075
2305	0.0088472
2304	0.0047786
2303	0.0065724
2302	-0.00061572
2301	0.0057628
2300	0.0077224
2299	0.0069953
2298	0.0029102
2297	0.0025878
2296	0.0066757
2295	0.0038554
2294	0.003896
2293	0.0063853
2292	0.0063652
2291	0.011891
2290	0.0070564
2289	-0.0027544
2288	0.0048708
2287	0.0082495
2286	0.010041
2285	0.0066263
2284	0.0068123
2283	0.0088094
2282	0.0056293
2281	0.010995
2280	0.0059117
2279	0.0059974
2278	0.0052592
2277	0.0091174
2276	0.0027201
2275	0.010524
2274	0.0091731
2273	0.0086738
2272	0.0068043
2271	0.0014984
2270	0.0043311
2269	0.0035813
2268	0.01097
2267	0.0061903
2266	0.0058415
2265	0.0054417
2264	0.010078
2263	0.0026237
2262	0.004155
2261	0.0039416
2260	0.0050622
2259	0.0018403
2258	0.0018399
2257	0.0060815
2256	0.0057254
2255	0.0046127
2254	0.0044922
2253	0.0038507
2252	0.0045678
2251	0.0073347
2250	0.0032136
2249	0.0075835
2248	0.0011064
2247	0.008049
2246	0.007014
2245	-0.00091428
2244	0.0035234
2243	0.010123
2242	0.0061554
2241	-0.00083619
2240	0.0083832
2239	0.0061171
2238	0.0045041
2237	0.014139
2236	0.002284
2235	0.0079542
2234	0.0088061
2233	0.006503
2232	0.0037015
2231	0.0085015
2230	0.0077816
2229	0.0026883
2228	0.0068547
2227	0.0045554
2226	0.0076525
2225	0.00068241
2224	0.0038015
2223	-0.00026412
2222	0.0029678
2221	0.0033945
2220	0.0057281
2219	0.0051254
2218	0.0053755
2217	0.0033088
2216	0.0092373
2215	0.0075725
2214	0.0072263
2213	0.0002544
2212	0.0075171
2211	0.0044983
2210	0.0079152
2209	0.0088288
2208	0.0024558
2207	0.0087336
2206	0.0033078
2205	0.0062808
2204	0.0052748
2203	0.0051757
2202	0.011083
2201	0.0041154
2200	0.0068123
2199	0.0027073
2198	0.0067208
2197	0.0084702
2196	0.0057867
2195	0.0046799
2194	0.006893
2193	0.010031
2192	0.0026726
2191	0.0069198
2190	0.0069308
2189	0.0039281
2188	0.0047593
2187	0.0042707
2186	0.0084415
2185	0.0066355
2184	0.00992
2183	0.0032917
2182	0.008123
2181	0.005139
2180	0.0063389
2179	0.011564
2178	0.01052
2177	0.0065443
2176	0.0048039
2175	0.0074241
2174	0.0065919
2173	0.0069124
2172	0.0046778
2171	0.0044798
2170	0.0067225
2169	0.0076776
2168	0.0030714
2167	0.00585
2166	0.0049763
2165	0.0056766
2164	0.0061889
2163	0.0074068
2162	0.0056403
2161	0.003229
2160	0.011659
2159	0.0062309
2158	0.011074
2157	0.010976
2156	0.0052582
2155	0.0023537
2154	0.0045168
2153	0.0084943
2152	0.013494
2151	0.009682
2150	0.0045182
2149	0.012022
2148	0.0069324
2147	0.0053278
2146	0.010479
2145	0.0050276
2144	0.0093081
2143	0.013899
2142	0.011713
2141	0.0030147
2140	0.0077611
2139	0.0097342
2138	0.0019462
2137	0.00060858
2136	0.0073037
2135	0.0096849
2134	0.0049749
2133	0.008111
2132	0.0061814
2131	0.0077487
2130	0.0021595
2129	0.0047571
2128	0.0018188
2127	0.0068948
2126	0.0093346
2125	0.0066349
2124	0.010215
2123	0.0089525
2122	-0.0015947
2121	0.0023043
2120	0.0054142
2119	0.0075539
2118	0.0067898
2117	0.0066744
2116	0.0093084
2115	0.010754
2114	0.0014682
2113	0.0065406
2112	0.010467
2111	0.001864
2110	0.0031125
2109	0.0050485
2108	0.0030474
2107	0.012428
2106	0.0013979
2105	0.0027209
2104	0.0087064
2103	0.009111
2102	0.003703
2101	0.0085834
2100	0.0022557
2099	0.0078156
2098	0.0048683
2097	0.0082711
2096	0.0028303
2095	0.011227
2094	0.0077669
2093	0.0027687
2092	0.010045
2091	0.0051501
2090	0.0064615
2089	0.0074074
2088	0.0066729
2087	0.0019509
2086	0.0014405
2085	0.010637
2084	0.010791
2083	0.0096428
2082	0.0049493
2081	0.0072189
2080	0.0074792
2079	0.0090494
2078	0.0059631
2077	0.0045239
2076	0.012979
2075	0.0057949
2074	0.0018759
2073	0.0093523
2072	0.006009
2071	0.0077719
2070	0.011267
2069	0.0081129
2068	0.0062014
2067	0.0078679
2066	0.0049135
2065	0.0079481
2064	0.0070215
2063	0.012389
2062	0.011549
2061	0.0078126
2060	0.0093594
2059	0.0080863
2058	0.0069716
2057	0.0039927
2056	0.012872
2055	0.0053885
2054	0.0080275
2053	0.010096
2052	0.0068994
2051	0.00087004
2050	0.0071316
2049	0.0097256
2048	0.011337
2047	0.006984
2046	0.010052
2045	0.0084578
2044	0.0074243
2043	0.0090978
2042	0.0080875
2041	0.0054678
2040	0.0081496
2039	0.010127
2038	0.0069279
2037	0.0080031
2036	0.010014
2035	0.0084856
2034	0.0083488
2033	0.011668
2032	0.0018299
2031	0.0092683
2030	0.00075662
2029	0.0049409
2028	0.001116
2027	0.0069867
2026	0.0073493
2025	0.011696
2024	0.0096617
2023	0.0064463
2022	0.0054649
2021	0.0054341
2020	0.012882
2019	0.0099901
2018	-0.0016245
2017	0.0058179
2016	0.0031401
2015	0.011394
2014	0.0061907
2013	0.011748
2012	0.0073024
2011	0.0066717
2010	0.0062691
2009	0.0039679
2008	0.0048132
2007	0.0072274
2006	0.0054018
2005	0.0098494
2004	0.009593
2003	0.0029979
2002	0.0046733
